project,product_id,institute,model,experiment,frequency,modeling_realm,mip_table,ensemble_member,version,variable,temporal_subset,format,uri
cmip5,output1,CSIRO-BOM,ACCESS1-3,historical,mon,atmos,Amon,r1i1p1,v20130325,tas,185001-200512,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/CSIRO-BOM/ACCESS1-3/historical/mon/atmos/Amon/r1i1p1/v20130325/tas/tas_Amon_ACCESS1-3_historical_r1i1p1_185001-200512.nc
cmip5,output1,CSIRO-BOM,ACCESS1-3,historical,mon,atmos,Amon,r2i1p1,v20121112,tas,185001-200512,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/CSIRO-BOM/ACCESS1-3/historical/mon/atmos/Amon/r2i1p1/v20121112/tas/tas_Amon_ACCESS1-3_historical_r2i1p1_185001-200512.nc
cmip5,output1,CSIRO-BOM,ACCESS1-3,historical,mon,atmos,Amon,r3i1p1,v4,tas,185001-200512,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/CSIRO-BOM/ACCESS1-3/historical/mon/atmos/Amon/r3i1p1/v4/tas/tas_Amon_ACCESS1-3_historical_r3i1p1_185001-200512.nc
cmip5,output1,BNU,BNU-ESM,historical,mon,atmos,Amon,r1i1p1,v20120510,tas,185001-200512,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/BNU/BNU-ESM/historical/mon/atmos/Amon/r1i1p1/v20120510/tas/tas_Amon_BNU-ESM_historical_r1i1p1_185001-200512.nc
cmip5,output1,NCAR,CCSM4,historical,mon,atmos,Amon,r1i1p1,v20130425,tas,185001-200512,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/NCAR/CCSM4/historical/mon/atmos/Amon/r1i1p1/v20130425/tas/tas_Amon_CCSM4_historical_r1i1p1_185001-200512.nc
cmip5,output1,NCAR,CCSM4,historical,mon,atmos,Amon,r2i1p1,v20130425,tas,185001-200512,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/NCAR/CCSM4/historical/mon/atmos/Amon/r2i1p1/v20130425/tas/tas_Amon_CCSM4_historical_r2i1p1_185001-200512.nc
cmip5,output1,NCAR,CCSM4,historical,mon,atmos,Amon,r3i1p1,v20130425,tas,185001-200512,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/NCAR/CCSM4/historical/mon/atmos/Amon/r3i1p1/v20130425/tas/tas_Amon_CCSM4_historical_r3i1p1_185001-200512.nc
cmip5,output1,NCAR,CCSM4,historical,mon,atmos,Amon,r4i1p1,v20130425,tas,185001-200512,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/NCAR/CCSM4/historical/mon/atmos/Amon/r4i1p1/v20130425/tas/tas_Amon_CCSM4_historical_r4i1p1_185001-200512.nc
cmip5,output1,NCAR,CCSM4,historical,mon,atmos,Amon,r5i1p1,v20130425,tas,185001-200512,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/NCAR/CCSM4/historical/mon/atmos/Amon/r5i1p1/v20130425/tas/tas_Amon_CCSM4_historical_r5i1p1_185001-200512.nc
cmip5,output1,NCAR,CCSM4,historical,mon,atmos,Amon,r6i1p1,v20130425,tas,185001-200512,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/NCAR/CCSM4/historical/mon/atmos/Amon/r6i1p1/v20130425/tas/tas_Amon_CCSM4_historical_r6i1p1_185001-200512.nc
cmip5,output1,NSF-DOE-NCAR,CESM1-CAM5,historical,mon,atmos,Amon,r1i1p1,v20130313,tas,185001-200512,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/NSF-DOE-NCAR/CESM1-CAM5/historical/mon/atmos/Amon/r1i1p1/v20130313/tas/tas_Amon_CESM1-CAM5_historical_r1i1p1_185001-200512.nc
cmip5,output1,NSF-DOE-NCAR,CESM1-CAM5,historical,mon,atmos,Amon,r2i1p1,v20130313,tas,185001-200512,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/NSF-DOE-NCAR/CESM1-CAM5/historical/mon/atmos/Amon/r2i1p1/v20130313/tas/tas_Amon_CESM1-CAM5_historical_r2i1p1_185001-200512.nc
cmip5,output1,NSF-DOE-NCAR,CESM1-CAM5,historical,mon,atmos,Amon,r3i1p1,v20130313,tas,185001-200512,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/NSF-DOE-NCAR/CESM1-CAM5/historical/mon/atmos/Amon/r3i1p1/v20130313/tas/tas_Amon_CESM1-CAM5_historical_r3i1p1_185001-200512.nc
cmip5,output1,CNRM-CERFACS,CNRM-CM5,historical,mon,atmos,Amon,r10i1p1,v20110901,tas,185001-189912,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/CNRM-CERFACS/CNRM-CM5/historical/mon/atmos/Amon/r10i1p1/v20110901/tas/tas_Amon_CNRM-CM5_historical_r10i1p1_185001-189912.nc
cmip5,output1,CNRM-CERFACS,CNRM-CM5,historical,mon,atmos,Amon,r10i1p1,v20110901,tas,190001-194912,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/CNRM-CERFACS/CNRM-CM5/historical/mon/atmos/Amon/r10i1p1/v20110901/tas/tas_Amon_CNRM-CM5_historical_r10i1p1_190001-194912.nc
cmip5,output1,CNRM-CERFACS,CNRM-CM5,historical,mon,atmos,Amon,r10i1p1,v20110901,tas,195001-200512,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/CNRM-CERFACS/CNRM-CM5/historical/mon/atmos/Amon/r10i1p1/v20110901/tas/tas_Amon_CNRM-CM5_historical_r10i1p1_195001-200512.nc
cmip5,output1,CNRM-CERFACS,CNRM-CM5,historical,mon,atmos,Amon,r1i1p1,v20110901,tas,185001-189912,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/CNRM-CERFACS/CNRM-CM5/historical/mon/atmos/Amon/r1i1p1/v20110901/tas/tas_Amon_CNRM-CM5_historical_r1i1p1_185001-189912.nc
cmip5,output1,CNRM-CERFACS,CNRM-CM5,historical,mon,atmos,Amon,r1i1p1,v20110901,tas,190001-194912,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/CNRM-CERFACS/CNRM-CM5/historical/mon/atmos/Amon/r1i1p1/v20110901/tas/tas_Amon_CNRM-CM5_historical_r1i1p1_190001-194912.nc
