project,product_id,institute,model,experiment,frequency,modeling_realm,mip_table,ensemble_member,version,variable,temporal_subset,format,uri
cmip5,output1,CSIRO-BOM,ACCESS1-3,piControl,mon,atmos,Amon,r1i1p1,v20130524,tas,025001-049912,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/CSIRO-BOM/ACCESS1-3/piControl/mon/atmos/Amon/r1i1p1/v20130524/tas/tas_Amon_ACCESS1-3_piControl_r1i1p1_025001-049912.nc
cmip5,output1,CSIRO-BOM,ACCESS1-3,piControl,mon,atmos,Amon,r1i1p1,v20130524,tas,050001-074912,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/CSIRO-BOM/ACCESS1-3/piControl/mon/atmos/Amon/r1i1p1/v20130524/tas/tas_Amon_ACCESS1-3_piControl_r1i1p1_050001-074912.nc
cmip5,output1,BNU,BNU-ESM,piControl,mon,atmos,Amon,r1i1p1,v20120626,tas,145001-200812,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/BNU/BNU-ESM/piControl/mon/atmos/Amon/r1i1p1/v20120626/tas/tas_Amon_BNU-ESM_piControl_r1i1p1_145001-200812.nc
cmip5,output1,NCAR,CCSM4,piControl,mon,atmos,Amon,r1i1p1,v20160829,tas,025001-050012,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/NCAR/CCSM4/piControl/mon/atmos/Amon/r1i1p1/v20160829/tas/tas_Amon_CCSM4_piControl_r1i1p1_025001-050012.nc
cmip5,output1,NCAR,CCSM4,piControl,mon,atmos,Amon,r1i1p1,v20160829,tas,050101-079912,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/NCAR/CCSM4/piControl/mon/atmos/Amon/r1i1p1/v20160829/tas/tas_Amon_CCSM4_piControl_r1i1p1_050101-079912.nc
cmip5,output1,NCAR,CCSM4,piControl,mon,atmos,Amon,r1i1p1,v20160829,tas,080001-130012,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/NCAR/CCSM4/piControl/mon/atmos/Amon/r1i1p1/v20160829/tas/tas_Amon_CCSM4_piControl_r1i1p1_080001-130012.nc
cmip5,output1,NCAR,CCSM4,piControl,mon,atmos,Amon,r2i1p1,v20120611,tas,095301-110812,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/NCAR/CCSM4/piControl/mon/atmos/Amon/r2i1p1/v20120611/tas/tas_Amon_CCSM4_piControl_r2i1p1_095301-110812.nc
cmip5,output1,NCAR,CCSM4,piControl,mon,atmos,Amon,r3i1p1,v20120708,tas,000101-012012,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/NCAR/CCSM4/piControl/mon/atmos/Amon/r3i1p1/v20120708/tas/tas_Amon_CCSM4_piControl_r3i1p1_000101-012012.nc
cmip5,output1,NSF-DOE-NCAR,CESM1-CAM5,piControl,mon,atmos,Amon,r1i1p1,v20130313,tas,000101-031912,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/NSF-DOE-NCAR/CESM1-CAM5/piControl/mon/atmos/Amon/r1i1p1/v20130313/tas/tas_Amon_CESM1-CAM5_piControl_r1i1p1_000101-031912.nc
cmip5,output1,CNRM-CERFACS,CNRM-CM5,piControl,mon,atmos,Amon,r1i1p1,v20110701,tas,185001-189912,netcdf,/work/kd0956/CMIP5/data/cmip5/output1/CNRM-CERFACS/CNRM-CM5/piControl/mon/atmos/Amon/r1i1p1/v20110701/tas/tas_Amon_CNRM-CM5_piControl_r1i1p1_185001-189912.nc
